Symbol,Description,GICS Sector
A,Agilent Technologies Inc,Health Care
AAL,American Airlines Group Inc,Industrials
AAP,Advance Auto Parts Inc,Consumer Discretionary
AAPL,Apple Inc,Information Technology
ABBV,Abbvie Inc,Health Care
ABC,AmerisourceBergen Corp,Health Care
ABMD,Abiomed Inc,Health Care
ABT,Abbott Laboratories,Health Care
ACN,Accenture Plc Class A,Information Technology
ADBE,Adobe Inc,Information Technology
ADI,Analog Devices Inc,Information Technology
ADM,Archer-Daniels-Midland Company,Consumer Staples
ADP,Automatic Data Processing Inc,Information Technology
ADSK,Autodesk Inc,Information Technology
AEE,Ameren Corp,Utilities
AEP,American Electric Power Inc,Utilities
AES,AES Corp,Utilities
AFL,Aflac Inc,Financials
AIG,American International Group Inc,Financials
AIZ,Assurant Inc,Financials
AJG,Arthur J Gallagher,Financials
AKAM,Akamai Technologies Inc,Information Technology
ALB,Albemarle Corp,Materials
ALGN,Align Technology Inc,Health Care
ALK,Alaska Air Group Inc,Industrials
ALL,Allstate Corp,Financials
ALLE,Allegion PLC,Industrials
AMAT,Applied Material Inc,Information Technology
AMCR,Amcor plc,Materials
AMD,Advanced Micro Devices Inc,Information Technology
AME,Ametek Inc,Industrials
AMGN,Amgen Inc,Health Care
AMP,Ameriprise Finance Inc,Financials
AMT,American Tower Corporation,Real Estate
AMZN,Amazon.Com Inc.,Consumer Discretionary
ANET,Arista Networks Inc,Information Technology
ANSS,Ansys Inc,Information Technology
ANTM,Anthem Inc,Health Care
AON,Aon Plc,Financials
AOS,A O Smith Corp,Industrials
APA,Apache Corp,Energy
APD,Air Products And Chemicals Inc,Materials
APH,Amphenol Corp,Information Technology
APTV,Aptiv Plc,Consumer Discretionary
ARE,"Alexandria Real Estate Equities, Inc",Real Estate
ATO,Atmos Energy Corp,Utilities
ATVI,Activision Blizzard Inc,Communication Services
AVB,"AvalonBay Communities, Inc",Real Estate
AVGO,Broadcom Inc.,Information Technology
AVY,Avery Dennison Corp,Materials
AWK,American Water Works Inc,Utilities
AXP,American Express,Financials
AZO,Autozone Inc,Consumer Discretionary
BA,Boeing,Industrials
BAC,Bank of America Corp,Financials
BAX,Baxter International Inc,Health Care
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary
BBY,Best Buy Inc,Consumer Discretionary
BDX,Becton Dickinson,Health Care
BEN,Franklin Resources Inc,Financials
BF-B,Brown Forman Inc Class B,Consumer Staples
BIIB,Biogen Inc,Health Care
BIO,Bio Rad Laboratories Inc Class A,Health Care
BK,Bank Of New York Mellon Corp,Financials
BKNG,Booking Holdings Inc,Consumer Discretionary
BKR,Baker Hughes Company Class A,Energy
BLK,Blackrock Inc,Financials
BLL,Ball Corp,Materials
BMY,Bristol Myers Squibb,Health Care
BR,Broadridge Financial Solutions Inc,Information Technology
BRK-B,Berkshire Hathaway Inc. Class B,Financials
BRO,Brown & Brown Inc,Financials
BSX,Boston Scientific Corp,Health Care
BWA,BorgWarner Inc,Consumer Discretionary
BXP,"Boston Properties, Inc",Real Estate
C,Citigroup Inc,Financials
CAG,Conagra Brands Inc,Consumer Staples
CAH,Cardinal Health Inc,Health Care
CARR,Carrier Global Corporation,Industrials
CAT,Caterpillar Inc,Industrials
CB,Chubb Ltd,Financials
CBOE,"Cboe Global Markets, Inc.",Financials
CBRE,CBRE Group Inc,Real Estate
CCI,Crown Castle International Corp.,Real Estate
CCL,Carnival Corp,Consumer Discretionary
CDAY,Ceridian HCM Holding Inc.,Information Technology
CDNS,Cadence Design Systems Inc,Information technology
CDW,CDW Corp,Information Technology
CE,Celanese Corporation,Materials
CEG,Constellation Energy Corporation,Utilities
CERN,Cerner Corp,Health Care
CF,CF Industries Holdings Inc,Materials
CFG,Citizens Financial Group Inc,Financials
CHD,Church And Dwight Inc,Consumer Staples
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials
CHTR,Charter Communications Inc Class A,Communication Services
CI,Cigna Corp,Health Care
CINF,Cincinnati Financial Corp,Financials
CL,Colgate-Palmolive,Consumer Staples
CLX,Clorox,Consumer Staples
CMA,Comerica Inc,Financials
CMCSA,Comcast A Corp,Communication Services
CME,CME Group Inc Class A,Financials
CMG,Chipotle Mexican Grill Inc,Consumer Discretionary
CMI,Cummins Inc,Industrials
CMS,CMS Energy Corp,Utilities
CNC,Centene Corp,Health Care
CNP,Centerpoint Energy Inc,Utilities
COF,Capital One Financial Corp,Financials
COO,"Cooper Companies, Inc.",Health Care
COP,ConocoPhillips,Energy
COST,Costco Wholesale Corp,Consumer Staples
CPB,Campbell Soup,Consumer Staples
CPRT,Copart Inc,Industrials
CRL,Charles River Laboratories International,Health Care
CRM,Salesforce.Com Inc,Information Technology
CSCO,Cisco Systems Inc,Information Technology
CSX,CSX Corp,Industrials
CTAS,Cintas Corp,Industrials
CTLT,Catalent Inc,Health Care
CTRA,Coterra Energy Inc.,Energy
CTSH,Cognizant Technology Solutions,Information Technology
CTVA,"Corteva, Inc.",Materials
CTXS,Citrix Systems Inc,Information Technology
CVS,CVS Health Corp,Health Care
CVX,Chevron Corp,Energy
CZR,Caesars Entertainment Corp,Consumer Discretionary
D,Dominion Energy Inc,Utilities
DAL,Delta Air Lines Inc,Industrials
DD,"DuPont de Nemours, Inc.",Materials
DE,Deere & Company,Industrials
DFS,Discover Financial Services,Financials
DG,Dollar General Corp,Consumer Discretionary
DGX,Quest Diagnostics Inc,Health Care
DHI,D R Horton Inc,Consumer Discretionary
DHR,Danaher Corp,Health Care
DIS,Walt Disney,Communication Services
DISCA,Discovery Communications Inc Series A,Communication Services
DISCK,"Discovery Communications, Inc. - Series C",Communication Services
DISH,Dish Network Corp Class A,Communication Services
DLR,"Digital Realty Trust, Inc",Real Estate
DLTR,Dollar Tree Inc,Consumer Discretionary
DOV,Dover Corp,Industrials
DOW,Dow Inc.,Materials
DPZ,Dominos Pizza Inc,Consumer Discretionary
DRE,Duke Realty Corporation,Real Estate
DRI,Darden Restaurants Inc,Consumer Discretionary
DTE,DTE Energy,Utilities
DUK,Duke Energy Corp,Utilities
DVA,Davita Inc,Health Care
DVN,Devon Energy Corp,Energy
DXC,DXC Technology Company,Information Technology
DXCM,Dexcom Inc,Health Care
EA,Electronic Arts Inc,Communication Services
EBAY,Ebay Inc,Consumer Discretionary
ECL,Ecolab Inc,Materials
ED,Consolidated Edison Inc,Utilities
EFX,Equifax Inc,Industrials
EIX,Edison International,Utilities
EL,Estee Lauder Inc Class A,Consumer Staples
EMN,Eastman Chemical,Materials
EMR,Emerson Electric,Industrials
ENPH,Enphase Energy Inc,Information Technology
EOG,EOG Resources Inc,Energy
EPAM,Epam Systems Inc,Information Technology
EQIX,"Equinix, Inc.",Real Estate
EQR,Equity Residential,Real Estate
ES,Eversource Energy,Utilities
ESS,"Essex Property Trust, Inc",Real Estate
ETN,"Eaton Corporation, PLC",Industrials
ETR,Entergy Corp,Utilities
ETSY,Etsy Inc,Consumer Discretionary
EVRG,Evergy Inc,Utilities
EW,Edwards Lifesciences Corp,Health Care
EXC,Exelon Corp,Utilities
EXPD,Expeditors International Of Washington,Industrials
EXPE,Expedia Inc,Consumer Discretionary
EXR,Extra Space Storage Inc,Real Estate
F,Ford Motor Company,Consumer Discretionary
FANG,Diamondback Energy Inc,Energy
FAST,Fastenal,Industrials
FB,Facebook Inc Class A,Communication Services
FBHS,Fortune Brands Home And Security,Industrials
FCX,"Freeport-McMoRan, Inc.",Materials
FDS,Factset Research Systems Inc,Financials
FDX,FedEx Corporation,Industrials
FE,Firstenergy Corp,Utilities
FFIV,F5 Networks Inc,Information Technology
FIS,Fidelity National Information Services,Information Technology
FISV,Fiserv Inc,Information Technology
FITB,Fifth Third Bancorp,Financials
FLT,Fleetcor Technologies Inc,Information Technology
FMC,FMC Corp,Materials
FOX,Fox Corporation Class B,Communication Services
FOXA,Fox Corporation Class A,Communication Services
FRC,First Republic Bank,Financials
FRT,Federal Realty Investment Trust,Real Estate
FTNT,Fortinet Inc,Information Technology
FTV,Fortive Corp,Industrials
GD,General Dynamics Corp,Industrials
GE,General Electric,Industrials
GILD,Gilead Sciences Inc,Health Care
GIS,General Mills Inc,Consumer Staples
GL,Globe Life Inc.,Financials
GLW,Corning Inc,Information Technology
GM,General Motors,Consumer Discretionary
GNRC,Generac Holdings Inc,Industrials
GOOG,Alphabet Inc Class C,Communication Services
GOOGL,Alphabet Inc Class A,Communication Services
GPC,Genuine Parts,Consumer Discretionary
GPN,Global Payments Inc,Information Technology
GRMN,Garmin Ltd,Consumer Discretionary
GS,Goldman Sachs Group Inc,Financials
GWW,W.W. Grainger Inc,Industrials
HAL,Halliburton,Energy
HAS,Hasbro Inc,Consumer Discretionary
HBAN,Huntington Bancshares Inc,Financials
HCA,"HCA Healthcare, Inc.",Health Care
HD,Home Depot Inc,Consumer Discretionary
HES,Hess Corp,Energy
HIG,Hartford Financial Services Group,Financials
HII,Huntington Ingalls Industries Inc,Industrials
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary
HOLX,Hologic Inc,Health Care
HON,Honeywell International Inc,Industrials
HPE,Hewlett Packard Enterprise,Information Technology
HPQ,HP Inc,Information Technology
HRL,Hormel Foods Corp,Consumer Staples
HSIC,Henry Schein Inc,Health Care
HST,"Host Hotels & Resorts, Inc",Real Estate
HSY,Hershey Foods,Consumer Staples
HUM,Humana Inc,Health Care
HWM,Howmet Aerospace Inc.,Industrials
IBM,International Business Machines Co,Information Technology
ICE,Intercontinental Exchange Inc,Financials
IDXX,Idexx Laboratories Inc,Health Care
IEX,IDEX Corp,Industrials
IFF,International Flavors & Fragrances,Materials
ILMN,Illumina Inc,Health Care
INCY,Incyte Corp,Health Care
INTC,Intel Corporation Corp,Information Technology
INTU,Intuit Inc,Information Technology
IP,International Paper,Materials
IPG,Interpublic Group Of Companies Inc,Communication Services
IPGP,IPG Photonics Corp,Information Technology
IQV,"IQVIA Holdings, Inc.",Health Care
IR,Ingersoll Rand Plc,Industrials
IRM,Iron Mountain Incorporated,Real Estate
ISRG,Intuitive Surgical Inc,Health Care
IT,Gartner Inc,Information Technology
ITW,Illinois Tool Inc,Industrials
IVZ,Invesco Ltd,Financials
J,Jacobs Engineering Group Inc.,Industrials
JBHT,JB Hunt Transport Services Inc,Industrials
JCI,Johnson Controls International Plc,Industrials
JKHY,"Jack Henry & Associates, Inc.",Information Technology
JNJ,Johnson & Johnson,Health Care
JNPR,Juniper Networks Inc,Information Technology
JPM,JP Morgan Chase & Co,Financials
K,Kellogg,Consumer Staples
KEY,Keycorp,Financials
KEYS,Keysight Technologies Inc,Information Technology
KHC,Kraft Heinz,Consumer Staples
KIM,Kimco Realty Corporation,Real Estate
KLAC,KLA-Tencor Corporation,Information Technology
KMB,Kimberly Clark Corp,Consumer Staples
KMI,Kinder Morgan Inc,Energy
KMX,Carmax Inc,Consumer Discretionary
KO,Coca-Cola,Consumer Staples
KR,Kroger,Consumer Staples
L,Loews Corp,Financials
LDOS,Leidos Holdings Inc,Industrials
LEN,Lennar Corporation Class A,Consumer Discretionary
LH,Laboratory Corporation Of America,Health Care
LHX,"L3Harris Technologies, Inc.",Industrials
LIN,Linde Plc,Materials
LKQ,LKQ Corp,Consumer Discretionary
LLY,Eli Lilly,Health Care
LMT,Lockheed Martin Corp,Industrials
LNC,Lincoln National Corp,Financials
LNT,Alliant Energy Corp,Utilities
LOW,Lowes Companies Inc,Consumer Discretionary
LRCX,Lam Research Corp,Information Technology
LUMN,"CenturyLink, Inc.",Communication Services
LUV,Southwest Airlines,Industrials
LVS,Las Vegas Sands Corp,Consumer Discretionary
LW,Lamb Weston Holdings Inc,Consumer Staples
LYB,Lyondellbasell Industries NV,Materials
LYV,Live Nation Entertainment Inc,Communication Services
MA,Mastercard Inc Class A,Information Technology
MAA,"Mid-America Apartment Communities, Inc",Real Estate
MAR,Marriott International Inc,Consumer Discretionary
MAS,Masco Corp,Industrials
MCD,Mcdonalds Corp,Consumer Discretionary
MCHP,Microchip Technology Inc,Information Technology
MCK,Mckesson Corp,Health Care
MCO,Moodys Corp,Financials
MDLZ,Mondelez International Inc,Consumer Staples
MDT,Medtronic Plc,Health Care
MET,Metlife Inc,Financials
MGM,MGM Resorts International,Consumer Discretionary
MHK,Mohawk Industries Inc,Consumer Discretionary
MKC,McCormick & Co  Non-voting,Consumer Staples
MKTX,Marketaxess Holdings Inc,Financials
MLM,Martin Marietta Materials Inc,Materials
MMC,Marsh & McLennan Inc,Financials
MMM,3M,Industrials
MNST,Monster Beverage Corp,Consumer Staples
MO,Altria Group Inc,Consumer Staples
MOH,Molina Healthcare Inc,Health Care
MOS,Mosaic,Materials
MPC,Marathon Petroleum Corp,Energy
MPWR,Monolithic Power Systems Inc,Information Technology
MRK,Merck & Co Inc,Health Care
MRNA,"Moderna, Inc.",Health Care
MRO,Marathon Oil Corp,Energy
MS,Morgan Stanley,Financials
MSCI,MSCI Inc,Financials
MSFT,Microsoft Corp,Information Technology
MSI,Motorola Solutions Inc,Information Technology
MTB,M&T Bank Corp,Financials
MTCH,Match Group Inc,Communication Services
MTD,Mettler Toledo Inc,Health Care
MU,Micron Technology Inc,Information Technology
NCLH,Norwegian Cruise Line Holdings Ltd,Consumer Discretionary
NDAQ,Nasdaq Inc,Financials
NDSN,Nordson Corp,Industrials
NEE,Nextera Energy Inc,Utilities
NEM,Newmont Corporation,Materials
NFLX,Netflix Inc,Communication Services
NI,Nisource Inc,Utilities
NKE,Nike Inc Class B,Consumer Discretionary
NLOK,NortonLifeLock Inc.,Information Technology
NLSN,Nielsen Holdings Plc,Industrials
NOC,Northrop Grumman Corp,Industrials
NOW,Servicenow Inc,Information Technology
NRG,NRG Energy Inc,Utilities
NSC,Norfolk Southern Corp,Industrials
NTAP,NetApp Inc,Information Technology
NTRS,Northern Trust Corporation,Financials
NUE,Nucor Corp,Materials
NVDA,Nvidia Corp,Information Technology
NVR,"NVR, Inc.",Consumer Discretionary
NWL,Newell Brands Inc,Consumer Discretionary
NWS,News Corp Class B,Communication Services
NWSA,News Corp Class A,Communication Services
NXPI,NXP Semiconductors Nv,Information Technology
O,Realty Income Corporation,Real Estate
ODFL,Old Dominion Freight Line Inc,Industrials
OGN,Organon & Co.,Health Care
OKE,Oneok Inc,Energy
OMC,Omnicom Group Inc,Communication Services
ORCL,Oracle Corp,Information Technology
ORLY,Oreilly Automotive Inc,Consumer Discretionary
OTIS,Otis Worldwide Corporation,Industrials
OXY,Occidental Petroleum Corp,Energy
PARA,Paramount Global - Class B,Communication Services
PAYC,Paycom Software Inc,Information Technology
PAYX,Paychex Inc,Information Technology
PBCT,Peoples United Financial Inc,Financials
PCAR,Paccar Inc,Industrials
PEAK,"Healthpeak Properties, Inc.",Real Estate
PEG,Public Service Enterprise Group Inc,Utilities
PENN,Penn National Gaming Inc,Consumer Discretionary
PEP,Pepsico Inc,Consumer Staples
PFE,Pfizer Inc,Health Care
PFG,Principal Financial Group Inc,Financials
PG,Procter & Gamble,Consumer Staples
PGR,Progressive Corp,Financials
PH,Parker-Hannifin Corp,Industrials
PHM,Pultegroup Inc,Consumer Discretionary
PKG,Packaging Corp Of America,Materials
PKI,Perkinelmer Inc,Health Care
PLD,"Prologis, Inc",Real Estate
PM,Philip Morris International Inc,Consumer Staples
PNC,"PNC Financial Services Group, Inc.",Financials
PNR,Pentair,Industrials
PNW,Pinnacle West Corp,Utilities
POOL,Pool Corp,Consumer Discretionary
PPG,PPG Industries Inc,Materials
PPL,PPL Corporation,Utilities
PRU,Prudential Financial Inc,Financials
PSA,Public Storage,Real Estate
PSX,Phillips 66,Energy
PTC,PTC Inc,Information Technology
PVH,PVH Corp,Consumer Discretionary
PWR,Quanta Services Inc,Industrials
PXD,Pioneer Natural Resource,Energy
PYPL,Paypal Holdings Inc,Information Technology
QCOM,Qualcomm Inc,Information Technology
QRVO,"Qorvo, Inc.",Information Technology
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary
RE,Everest Re Group Ltd,Financials
REG,Regency Centers Corporation,Real Estate
REGN,Regeneron Pharmaceuticals Inc,Health Care
RF,Regions Financial Corp,Financials
RHI,Robert Half,Industrials
RJF,Raymond James Inc,Financials
RL,Ralph Lauren Corp Class A,Consumer Discretionary
RMD,Resmed Inc,Health Care
ROK,Rockwell Automation Inc,Industrials
ROL,Rollins Inc,Industrials
ROP,Roper Technologies Inc,Industrials
ROST,Ross Stores Inc,Consumer Discretionary
RSG,Republic Services Inc,Industrials
RTX,Raytheon Technologies Corporation,Industrials
SBAC,SBA Communications Corporation,Real Estate
SBNY,Signature Bank,Financials
SBUX,Starbucks Corp,Consumer Discretionary
SCHW,Charles Schwab Corporation,Financials
SEDG,SolarEdge Technologies Inc,Information Technology
SEE,Sealed Air Corp,Materials
SHW,Sherwin Williams,Materials
SIVB,SVB Financial Group,Financials
SJM,J.M. Smucker,Consumer Staples
SLB,Schlumberger Nv,Energy
SNA,Snap On Inc,Industrials
SNPS,Synopsys Inc,Information Technology
SO,Southern Co,Utilities
SPG,"Simon Property Group, Inc",Real Estate
SPGI,S&P Global Inc,Financials
SRE,Sempra Energy,Utilities
STE,STERIS PLC,Health Care
STT,State Street Corp,Financials
STX,Seagate Technology Plc,Information Technology
STZ,Constellation Brands Class A,Consumer Staples
SWK,Stanley Black & Decker Inc,Industrials
SWKS,Skyworks Solutions Inc,Information Technology
SYF,Synchrony Financial,Financials
SYK,Stryker Corp,Health Care
SYY,Sysco Corp,Consumer Staples
T,AT&T Inc.,Communication Services
TAP,Molson Coors Brewing Class B,Consumer Staples
TDG,Transdigm Group Inc,Industrials
TDY,Teledyne Technologies Inc,Information Technology
TECH,Bio-Techne Corp,Health Care
TEL,TE Connectivity Ltd,Information Technology
TER,Teradyne Inc,Information Technology
TFC,Truist Financial Corporation,Financials
TFX,Teleflex Inc,Health Care
TGT,Target Corp,Consumer Discretionary
TJX,"TJX Companies, Inc.",Consumer Discretionary
TMO,Thermo Fisher Scientific Inc,Health Care
TMUS,T Mobile US Inc,Communication Services
TPR,Tapestry,Consumer Discretionary
TRMB,Trimble Inc,Information Technology
TROW,T Rowe Price Group Inc,Financials
TRV,Travelers Companies Inc,Financials
TSCO,Tractor Supply,Consumer Discretionary
TSLA,Tesla Inc,Consumer Discretionary
TSN,Tyson Foods Inc Class A,Consumer Staples
TT,Trane Technologies plc,Industrials
TTWO,Take Two Interactive Software Inc,Communication Services
TWTR,Twitter Inc,Communication Services
TXN,Texas Instrument Inc,Information Technology
TXT,Textron Inc,Industrials
TYL,Tyler Technologies Inc,Information Technology
UA,Under Armour Inc Class C,Consumer Discretionary
UAA,Under Armour Inc Class A,Consumer Discretionary
UAL,United Continental Holdings Inc,Industrials
UDR,"UDR, Inc",Real Estate
UHS,Universal Health Services Inc.,Health Care
ULTA,Ulta Beauty Inc,Consumer Discretionary
UNH,Unitedhealth Group Inc,Health Care
UNP,Union Pacific Corp,Industrials
UPS,United Parcel Service Inc Class B,Industrials
URI,United Rentals Inc,Industrials
USB,US Bancorp,Financials
V,Visa Inc Class A,Information Technology
VFC,VF Corp,Consumer Discretionary
VLO,Valero Energy Corp,Energy
VMC,Vulcan Materials,Materials
VNO,Vornado Realty Trust,Real Estate
VRSK,Verisk Analytics Inc,Industrials
VRSN,Verisign Inc,Information Technology
VRTX,Vertex Pharmaceuticals Inc,Health Care
VTR,"Ventas, Inc",Real Estate
VTRS,Viatris Inc.,Health Care
VZ,Verizon Communications Inc,Communication Services
WAB,Westinghouse Air Brake Technologies,Industrials
WAT,Waters Corp,Health Care
WBA,Walgreen Boots Alliance Inc,Consumer Staples
WDC,Western Digital Corp,Information Technology
WEC,WEC Energy Group Inc,Utilities
WELL,Welltower Inc,Real Estate
WFC,Wells Fargo,Financials
WHR,Whirlpool Corp,Consumer Discretionary
WM,Waste Management Inc,Industrials
WMB,Williams Inc,Energy
WMT,Walmart Stores Inc,Consumer Staples
WRB,WR Berkley Corp,Financials
WRK,Westrock,Materials
WST,West Pharmaceutical Services Inc,Health Care
WTW,Willis Towers Watson Public Limited Company,Financials
WY,Weyerhaeuser Company,Real Estate
WYNN,Wynn Resorts Ltd,Consumer Discretionary
XEL,Xcel Energy Inc,Utilities
XOM,Exxon Mobil Corp,Energy
XRAY,Dentsply Sirona Inc,Health Care
XYL,Xylem Inc,Industrials
YUM,Yum Brands Inc,Consumer Discretionary
ZBH,Zimmer Biomet Holdings Inc,Health Care
ZBRA,Zebra Technologies Corp,Information Technology
ZION,Zions Bancorporation,Financials
ZTS,Zoetis Inc,Health Care
